IDENTIFICADOR,CUENTA MAYOR,SUBCUENTA,ANALITICO,TIPO VEHICULO,MARCA,MODELO,MOTOR,CHASIS,COLOR,CHAPA,I.M.H.,LOGO,FECHA ADQUISICION,ROTULADO,CANTIDAD,VALOR UNITARIO,VALOR TOTAL,ESTADO DE CONSERVACION,OBSERVACIONES,anho
91,26103,1,2,CAMIONETA,CHEVROLET,2005,40704215314,9BG138AC05C427586,BLANCO,EAD 620,9785,232,31/12/2005,07.23053.00.0062,1,99290909,99290909,REGULAR,SERVICIOS GENERALES,2005
92,26103,1,2,CAMIONETA,CHEVROLET,2005,40704215556,9BG138AC05C427518,BLANCO,EAD 621,9786,235,31/12/2005,07.23053.00.0065,1,99290909,99290909,REGULAR,COORDINACION DEPARTAMENTAL DE CAAZAPA,2005
93,26103,1,2,CAMIONETA,CHEVROLET,2005,40704214408,9BG138AC05C427086,BLANCO,EAD 622,9787,236,31/12/2005,07.23053.00.0066,1,99290909,99290909,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,2005
94,26103,1,2,CAMIONETA,CHEVROLET,2005,40704214779,9BG138AC05C427400,BLANCO,EAD 623,9788,239,31/12/2005,07.23053.00.0069,1,99290909,99290909,BUENO,DEPARTAMENTO DE DE TRANSPORTE,2005
95,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56GR7763,DJNK340SP-05453,BLANCO,EAA 901,4497,16,31/12/1995,07.22891.01.0006,1,65300000,65300000,RGULAR,DEPARTAMENTO DE DE TRANSPORTE,1995
96,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56GS0063,DJNK340SP-05693,BLANCO,EAA 899,4498,161,31/12/1995,07.22891.01.0009,1,65300000,65300000,REGULAR,CONSEJO NACIONAL DE EDUCACION Y CULTURA,1995
97,26103,1,2,CAMIONETA,TOYOTA,2005,3L-5568926,JTFDE62640-0142530,PLATA,EAD 298,10212,251,28/12/2008,07.22891.01.0078,1,205000000,205000000,BUENO,DIRECCION GENERAL DE EDUCACION SUPERIOR ,2008
98,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025799,8AGSA1910AR146728,BLANCO,EAF 267,526,,16/07/2010,07.22891.03.0020,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE GABINETE,2010
99,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025802,8AGSA1910AR147165,NEGRO,EAF 231,527,,16/07/2010,07.22891.03.0016,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE GABINETE,2010
100,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025781,8AGSA1910AR139918,BLANCO,EAF 22,528,,16/07/2010,07.22891.03.0015,1,62800000,62800000,MUY BUENO,CENTRO DE INFORMACION Y ATENCION A LA CIUDADANIA ,2010
101,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025808,8AGSA1910AR148333,BLANCO,EAF 199,529,,16/07/2010,07.22891.03.0019,1,62800000,62800000,MUY BUENO,VICE MINISTERIO DE EDUCACION SUPERIOR,2010
102,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025798,8AGSA1910AR145619,BLANCO,EAF 18,530,,16/07/2010,07.22891.03.0017,1,62800000,62800000,MUY BUENO,VICE MINISTERIO DE EDUCACION PARA LA GESTION EDUCATIVA ,2010
103,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025777,8AGSA1910AR139241,BLANCO,EAF 181,531,,16/07/2010,07.22891.03.0011,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE RELACIONES INTERNACIONALES,2010
104,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025676,8AGSA1910AR130916,BLANCO,EAF 19,532,,16/07/2010,07.22891.03.0010,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE GABINETE,2010
105,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025783,8AGSA1910AR140112,BLANCO,EAF 225,533,,16/07/2010,07.22891.03.0013,1,62800000,62800000,MUY BUENO,ASSESORIA DEL GABINETE,2010
106,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025773,8AGSA1910AR139719,BLANCO,EAF 253,534,,16/07/2010,07.22891.03.0012,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE ASESORIA JURIDICA,2010
107,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025845,8AGSA1910AR160397,BEIGE,EAF 223,535,,16/07/2010,07.22891.03.0001,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE GABINETE,2010
108,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025820,8AGSA1910AR153809,GRIS,EAF 202,536,,16/07/2010,07.22891.03.0007,1,62800000,62800000,MUY BUENO,DIRECCION PARA EL DESARROLLO DE LA RESPONSABILIDAD SOCIAL DE LAS EMPRESAS EN EL SECTOR EDUCATIVO ,2010
109,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025821,8AGSA1910AR155215,BEIGE,EAF 254,537,,16/07/2010,07.22891.03.0003,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE GABINETE,2010
110,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025853,8AGSA1910AR165584,GRIS,EAF 185,538,,16/07/2010,07.22891.03.0002,1,62800000,62800000,MUY BUENO,DEPARTAMENTO DE DE TRANSPORTE,2010
111,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025830,8AGSA1910AR156504,GRIS,EAF 222,539,,16/07/2010,07.22891.03.0006,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE GABINETE,2010
112,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025841,8AGSA1910AR159776,BLANCO,EAF 226,540,,16/07/2010,07.22891.03.0004,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,2010
113,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025834,8AGSA1910AR157219,BLANCO,EAF 25,541,,16/07/2010,07.22891.03.0005,1,62800000,62800000,MUY BUENO,DIRECCION GENERAL DE PLANIFICACION EDUCATIVA,2010
114,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025811,8AGSA1910AR148656,GRIS,EAF 186,542,,16/07/2010,07.22891.03.0009,1,62800000,62800000,MUY BUENO,SECRETARIA GENERAL,2010
115,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025714,8AGSA1910AR130952,BLANCO,EAF 212,543,,16/07/2010,07.22891.03.0014,1,62800000,62800000,MUY BUENO,VICE MINISTERIO PARA EL DESARROLLO EDUCATIVO,2010
116,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025840,8AGSA1910AR159045,GRIS,EAF 235,544,,16/07/2010,07.22891.03.0008,1,62800000,62800000,MUY BUENO,VICE MINISTERIO DE LA JUVENTUD,2010
117,26103,1,1,AUTOMOVIL,CHEVROLET,2010,S85025818,8AGSA1910AR154915,GRIS,EAF 269,545,,16/07/2010,07.22891.03.0018,1,62800000,62800000,MUY BUENO,VICE MINISTERIO DE CULTO,2010
118,26103,1,3,BUS,MERCEDES,,374980-10-354189,9BM688176VB123032,BLANCO,AYU 195,546,,31/12/1997,07.22971.00.1569,1,221075000,221075000,BUENO,CONSEJO NACIONAL DE MUSICA,1997
119,26103,1,2,CAMIONETA,IZUZU,,HX5394,MPATFS85HBT102708,,BHD 177,445,,4/8/2011,07.22891.03.0025,1,156000000,156000000,MUY BUENO,DEPARTAMENTO DE TRANSPORTE,2011
120,26103,1,2,CAMIONETA,IZUZU,,HX5401,MPATFS85HBT102706,,BGZ 960,584,,4/8/2011,07.22891.03.0026,1,156000000,156000000,MUY BUENO,VICE MINISTERIO DE LA JUVENTUD,2011
121,26103,1,2,CAMIONETA,IZUZU,,HX5400,MPATFS85HBT102707,,BHD 193,469,,4/8/2011,07.22891.03.0027,1,156000000,156000000,MUY BUENO,SECRETARIA GENERAL,2011
122,26103,1,2,CAMIONETA,IZUZU,,HZ3334,MPATFS85HBH532739,,EAG 710,1021,,4/8/2011,07.22891.03.0028,1,156000000,156000000,MUY BUENO,DEPARTAMENTO DE TRANSPORTE,2011
123,26103,1,2,CAMIONETA,IZUZU,,HX5396,MPATFS85HBT102710,,BGZ 983,453,,4/8/2011,07.22891.03.0029,1,156000000,156000000,MUY BUENO,VICE MINISTERIO DE EDUCACION PARA EL DESARROLLO EDUCACION ,2011
124,26103,1,2,CAMIONETA,IZUZU,,HX5391,MPATFS85HBT102709,,EAG 077,447,,4/8/2011,07.22891.03.0030,1,156000000,156000000,MUY BUENO ,DIRECCION GENERAL DE TALENTO HUMANO,2011
125,26103,1,2,CAMIONETA,IZUZU,,HX5402,MPATFS85HBT102705,,BHD 046,580,,4/8/2011,07.22891.03.0031,1,156000000,156000000,MUY BUENO ,DIRECCION GENERAL DE COMUNICACION ESTRATEGICA,2011
126,26103,1,2,CAMIONETA,IZUZU,,HX5390,MPATFS85HBT102697,,BHD 097,455,,4/8/2011,07.22891.03.0032,1,156000000,156000000,MUY BUENO ,DIRECCION GENERAL DE FORMACION PROFESIONAL EDUCATIVO,2011
127,26103,1,2,CAMIONETA,IZUZU,,HX5397,MPATFS85HBT102704,,BHD 113,459,,4/8/2011,07.22891.03.0033,1,156000000,156000000,MUY BUENO ,DIRECCION GENERAL DE GESTION SOCIAL Y EQUIDAD EDUCATIVA ,2011
128,26103,1,2,CAMIONETA,IZUZU,,HY9008,MPATFS85HBH531868,,BJP 723,1022,,4/8/2011,07.22891.03.0034,1,156000000,156000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
129,26103,1,2,CAMIONETA,IZUZU,,HZ1687,MPATFS85HBH532610,,BGZ 979,471,,4/8/2011,07.22891.03.0035,1,156000000,156000000,MUY BUENO ,DIRECCION GENERAL DE EDUCACION MEDIA,2011
130,26103,1,2,CAMIONETA,IZUZU,,HX5389,MPATFS85HBT102696,,BHF 796,1032,,4/8/2011,07.22891.03.0036,1,156000000,156000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
131,26103,1,2,CAMIONETA,IZUZU,,HY3002,MPATFS85HBH531837,,EAG 064,582,,4/8/2011,07.22891.03.0037,1,156000000,156000000,MUY BUENO ,SECRETARIA DE POLITICAS LINGUISTICAS,2011
132,26103,1,2,CAMIONETA,IZUZU,,HY3010,MPATFS85HBH531864,,EAG 712,1023,,4/8/2011,07.22891.03.0038,1,156000000,156000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
133,26103,1,2,CAMIONETA,IZUZU,,HX5356,MPATFS85HBT102695,,EAG 075,452,,4/8/2011,07.22891.03.0039,1,156000000,156000000,MUY BUENO ,CONSEJO NACIONAL DE EDUCACION Y CULTURA,2011
134,26103,1,2,CAMIONETA,IZUZU,,HX5358,MPATFS85HBT102685,,BHD 200,472,,4/8/2011,07.22891.03.0040,1,156000000,156000000,MUY BUENO ,VICE MINISTERIO PARA LA GESTION EDUCATIVA,2011
135,26103,1,2,CAMIONETA,IZUZU,,HX5351,MPATFS85HBT102692,,EAG 711,1024,,4/8/2011,07.22891.03.0041,1,156000000,156000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
136,26103,1,2,CAMIONETA,IZUZU,,HX5355,MPATFS85HBT102693,,EAG 325,1029,,4/8/2011,07.22891.03.0042,1,156000000,156000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
137,26103,1,2,CAMIONETA,IZUZU,,HX5347,MPATFS85HBT102694,,BHD 175,466,,4/8/2011,07.22891.03.0043,1,156000000,156000000,MUY BUENO ,MINISTRO - GABINETE,2011
138,26103,1,2,CAMIONETA,IZUZU,,HX5357,MPATFS85HBT102684,,BGZ 986,461,,4/8/2011,07.22891.03.0044,1,156000000,156000000,MUY BUENO ,DIRECCION GENERAL DE AUDITORIA INTERNA,2011
139,26103,1,2,CAMIONETA,IZUZU,,HX5352,MPATFS85HBT102683,,EAG 068,456,,4/8/2011,07.22891.03.0045,1,156000000,156000000,MUY BUENO ,DIRECCION FINANCIERA,2011
140,26103,1,2,CAMIONETA,IZUZU,,HX1871,MPATFS85HBH528510,,BGZ 909,457,,4/8/2011,07.22891.03.0046,1,156000000,156000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
141,26103,1,2,CAMIONETA,IZUZU,,HX5344,MPATFS85HBT102682,,EAG 070,450,,4/8/2011,07.22891.03.0047,1,156000000,156000000,MUY BUENO ,VICE MINISTERIO PARA EL DESARROLLO EDUCACION ,2011
142,26103,1,2,CAMIONETA,IZUZU,,HX1833,MPATFS85HBH528358,,EAG 076,446,,4/8/2011,07.22891.03.0048,1,156000000,156000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
143,26103,1,2,CAMIONETA,IZUZU,,HX1081,MPATFS85HBH527912,,EAG 069,460,,4/8/2011,07.22891.03.0049,1,156000000,156000000,MUY BUENO ,DIRECCION GENERAL DE GABINETE,2011
144,26103,1,2,CAMIONETA,IZUZU,,HW8865,MPATFS85HBH527871,,BHG 538,585,,4/8/2011,07.22891.03.0050,1,156000000,156000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
145,26103,1,2,CAMIONETA,IZUZU,,HX1850,MPATFS85HBH528469,,BHD 045,465,,4/8/2011,07.22891.03.0051,1,156000000,156000000,MUY BUENO ,DIRECCION GENERAL DE ASESORIA JURIDICA,2011
146,26103,1,2,CAMIONETA,IZUZU,,HW8825,MPATFS85HBH527720,,BGZ 902,464,,4/8/2011,07.22891.03.0052,1,156000000,156000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
147,26103,1,2,CAMIONETA,IZUZU,,HW8829,MPATFS85HBH527780,,BGZ 932,444,,4/8/2011,07.22891.03.0053,1,156000000,156000000,MUY BUENO ,DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,2011
148,26103,1,2,CAMIONETA,IZUZU,,HX1855,MPATFS85HBH528460,,BHD 068,467,,4/8/2011,07.22891.03.0054,1,156000000,156000000,MUY BUENO ,AGENCIA NACIONAL DE EVALUACION Y ACREDITACION DE LA EDUCACION SUPERIOR,2011
149,26103,1,2,CAMIONETA,IZUZU,,HX1854,MPATFS85HBH528445,,BHD 179,448,,4/8/2011,07.22891.03.0055,1,156000000,156000000,MUY BUENO,DIRECCION GENERAL DE UNIVERSIDADES E INSTITUCIONES SUPERIORES,2011
150,26103,1,2,CAMIONETA,IZUZU,,HX1857,MPATFS85HBH528338,,BHD 121,581,,4/8/2011,07.22891.03.0056,1,156000000,156000000,MUY BUENO,DIRECCION GENERAL DEL TALENTO HUMANO,2011
151,26103,1,2,CAMIONETA,IZUZU,,HX1818,MPATFS85HBH528306,,BHD 062,443,,4/8/2011,07.22891.03.0057,1,156000000,156000000,MUY BUENO,DEPARTAMENTO TRANSPORTE,2011
152,26103,1,2,CAMIONETA,IZUZU,,HX1842,MPATFS85HBH528291,,EAG 060,583,,4/8/2011,07.22891.03.0058,1,156000000,156000000,MUY BUENO,DEPARTAMENTO TRANSPORTE,2011
153,26103,1,2,CAMIONETA,IZUZU,,HX1102,MPATFS85HBH528070,,BGZ 984,454,,4/8/2011,07.22891.03.0059,1,156000000,156000000,MUY BUENO,DEPARTAMENTO TRANSPORTE,2011
154,26103,1,2,CAMIONETA,IZUZU,,HX1104,MPATFS85HBH527989,,BGZ 931,468,,4/8/2011,07.22891.03.0060,1,156000000,156000000,MUY BUENO,DEPARTAMENTO TRANSPORTE,2011
155,26103,1,2,CAMIONETA,IZUZU,,HW8838,MPATFS85HBH527768,,BJP 979,1026,,4/8/2011,07.22891.03.0061,1,156000000,156000000,MUY BUENO,DEPARTAMENTO TRANSPORTE,2011
156,26103,1,2,CAMIONETA,IZUZU,,HW8820,MPATFS85HBH527777,,EAG 066,451,,4/8/2011,07.22891.03.0062,1,156000000,156000000,MUY BUENO,VICE MINISTERIO DE CULTO,2011
157,26103,1,2,CAMIONETA,IZUZU,,HW8879,MPATFS85HBH527831,,BGZ 907,585,,4/8/2011,07.22891.03.0063,1,156000000,156000000,MUY BUENO,DEPARTAMENTO TRANSPORTE,2011
158,26103,1,2,CAMIONETA,IZUZU,,HW8862,MPATFS85HBH527885,,BHD 043,462,,4/8/2011,07.22891.03.0064,1,156000000,156000000,MUY BUENO,DIRECCION GENERAL DE EDUCACION INCLUSIVA,2011
159,26103,1,2,CAMIONETA,IZUZU,,HW8851,MPATFS85HBH527910,,BGZ 903,470,,4/8/2011,07.22891.03.0065,1,156000000,156000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
160,26103,1,2,CAMIONETA,IZUZU,,HZ3338,MPATFS85HBH532470,,EAG 063,458,,4/8/2011,07.22891.03.0066,1,156000000,156000000,MUY BUENO ,DIRECCION GENERAL DE GABINETE TECNICO,2011
161,26103,1,2,CAMIONETA,IZUZU,,HZ0737,MPATFS85HBH532207,,EAG 078,449,,4/8/2011,07.22891.03.0067,1,156000000,156000000,MUY BUENO ,DIRECCION GENERAL DE LIDERAZGO COMUNITARIO Y CIUDADANIA,2011
162,26103,1,2,CAMIONETA,IZUZU,,HY9016,MPATFS85HBH531843,,EAG 298,1030,,4/8/2011,07.22891.03.0068,1,156000000,156000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
163,26103,1,2,CAMIONETA,IZUZU,,HZ3344,MPATFS85HBH532843,,BHF 149,1028,,4/8/2011,07.22891.03.0069,1,156000000,156000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
164,26103,1,2,CAMIONETA,IZUZU,,HW8858,MPATFS85HBH527918,,BHD 203,463,,4/8/2011,07.22891.03.0070,1,156000000,156000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
165,26103,1,3,MINIBUS,HYUNDAI,,D4BHB002396,KMJWA37HABU334509,,EAG 061,476,,4/8/2011,07.22891.03.0071,1,160000000,160000000,MUY BUENO,DEPARTAMENTO TRANSPORTE,2011
166,26103,1,3,MINIBUS,HYUNDAI,,D4BHB001748,KMJWA37HABU335739,GRIS,EAG 065,473,,4/8/2011,07.22891.03.0072,1,160000000,160000000,MUY BUENO,DEPARTAMENTO TRANSPORTE,2011
167,26103,1,3,MINIBUS,HYUNDAI,,D4BHA068394,KMJWA37HABU323070,,BHD 287,479,,4/8/2011,07.22891.03.0073,1,160000000,160000000,MUY BUENO,DEPARTAMENTO TRANSPORTE,2011
168,26103,1,3,MINIBUS,HYUNDAI,,D4BHB003857,KMJWA37HABU335821,,BGZ 933,474,,4/8/2011,07.22891.03.0074,1,160000000,160000000,MUY BUENO,DEPARTAMENTO TRANSPORTE,2011
169,26103,1,3,MINIBUS,HYUNDAI,,D4BHB005823,KMJWA37HABU335506,,BHD 198,477,,4/8/2011,07.22891.03.0075,1,160000000,160000000,MUY BUENO,DIRECCION GENERAL DE COOPERACION EDUCATIVA Y CULTURAL,2011
170,26103,1,3,CAMION,FORD,,,9BFYCE6U7BBB76609,,EAF 966,481,,21/07/2011,07.22891.03.0081,1,340000000,340000000,MUY BUENO,DEPARTAMENTO TRANSPORTE,2011
171,26103,1,3,MINIBUS,HYUNDAI,,D4BHB003604,KMJWA37HABU334974,,EAG 714,1025,,4/8/2011,07.22891.03.0076,1,160000000,160000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
172,26103,1,3,MINIBUS,HYUNDAI,,D4BHA067331,KMJWA37HABU297235,,BJO 554,1027,,4/8/2011,07.22891.03.0077,1,160000000,160000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
173,26103,1,3,MINIBUS,HYUNDAI,,D4BHA069098,KMJWA37HABU323436,,BGZ 732,480,,4/8/2011,07.22891.03.0078,1,160000000,160000000,MUY BUENO ,COMISION NACIONAL DE BILINGUISMO,2011
174,26103,1,3,MINIBUS,HYUNDAI,,D4BHB003947,KMJWA37HABU336476,,BHD 047,478,,4/8/2011,07.22891.03.0079,1,160000000,160000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
175,26103,1,3,MINIBUS,HYUNDAI,,D4BHA068240,KMJWA37HABU322617,,EAG 073,475,,4/8/2011,07.22891.03.0080,1,160000000,160000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
176,26103,1,3,CAMION,FORD,,,9BFYCE6U5BBB76608,,BGN 488,,,21/7/2011,07.22891.03.0082,1,340000000,340000000,MUY BUENO ,DEPARTAMENTO TRANSPORTE,2011
177,26103,1,1,AUTOMOVIL,CHEVROLET,,5R0028302,9BGXF75R07C714809,,BAN 743,,,11/6/2014,07.22891.03.0083,1,65000000,65000000,MUY BUENO ,PROGRAMA DE EDUCACION DE PERSONAS ADULTAS,2011
178,26103,1,2,CAMIONETA,MITSUBISHI,,4D56-CK0079,93XGNK7408C739060,,BBS 213,,,11/6/2014,07.22891.03.0084,1,110000000,110000000,MUY BUENO ,PROGRAMA DE EDUCACION DE PERSONAS ADULTAS,2014
179,26103,1,2,CAMIONETA,CHEVROLET,,M1T264395,9BG138BC06C426125,,BAN 740,,,11/6/2014,07.22891.03.0085,1,80000000,80000000,MUY BUENO ,PROGRAMA DE EDUCACION DE PERSONAS ADULTAS,2014
180,26103,1,3,MINIBUS,KIA,,J2-398557,KNHTR731257182237,,AFZ 031,,,11/6/2014,07.22891.03.0085,1,70000000,70000000,MUY BUENO ,PROGRAMA DE EDUCACION DE PERSONAS ADULTAS,2014
